chapter_id,scene_id,subsection,sequence,record_type,speaker,delivery_mode,text,background,environment,bgm,sfx,time_cue,direction
CH01,,,,chapter_title,,,第一章「失われた居場所」,,,,,,
CH01,Scene01,,1,background,,,,BG_SC01_UNIVERSITY_LECTURE_ROOM_DAY,,,,,
CH01,Scene01,,2,environment,,,,,ENV_UNIVERSITY_CLASSROOM,,,,
CH01,Scene01,,3,narration,,,講師の声が、前から後ろへ流れていく。,,,,,,
CH01,Scene01,,4,narration,,,黒板の文字を写す手だけは止めない。,,,,,,
CH01,Scene01,,5,narration,,,隣の席がひとつ空いている。,,,,,,
CH01,Scene01,,6,narration,,,その向こうでは、三人の学生が声を潜めて笑っていた。,,,,,,
CH01,Scene01,,7,dialogue,学生A,spoken,「今日、どこで食べる？」,,,,,,
CH01,Scene01,,8,dialogue,学生B,spoken,「駅前でいいんじゃない」,,,,,,
CH01,Scene01,,9,narration,,,たけしはノートの端に、今日の日付を書く。,,,,,,
CH01,Scene01,,10,narration,,,話しかけられないことにも、自分から話しかけないことにも慣れている。,,,,,,
CH01,Scene01,,11,dialogue,講師,spoken,「来週までに、ここまで読んでおいてください」,,,,,,
CH01,Scene01,,12,environment,,,,,ENV_UNIVERSITY_CLASSROOM,,,,
CH01,Scene01,,13,narration,,,たけしは周囲より少し遅れて立ち上がる。,,,,,,
CH01,Scene01,,14,narration,,,人の流れが細くなってから、鞄を肩に掛けた。,,,,,,
CH01,Scene01,,15,background,,,,BG_SC01_UNIVERSITY_LECTURE_ROOM_DAY,,,,,
CH01,Scene01,,16,bgm,,,,,,BGM_SC01_QUIET_DAILY_LIFE,,,
CH01,Scene01,,17,narration,,,スマートフォンの時間を確かめる。,,,,,,
CH01,Scene01,,18,narration,,,このまま向かえば、アルバイトには間に合う。,,,,,,
CH01,Scene01,,19,narration,,,大学の掲示板には、必修科目の出席について注意書きが貼られていた。,,,,,,
CH01,Scene01,,20,narration,,,足を止めるのは、ほんの一瞬で済ませる。,,,,,,
CH01,Scene01,,21,dialogue,たけし,spoken,「……次は出ればいい」,,,,,,
CH01,Scene01,,22,narration,,,誰に聞かせるでもなく言って、歩き出す。,,,,,,
CH01,Scene01,,23,background,,,,BG_SC01_TAKESHI_APARTMENT_NIGHT,,,,,
CH01,Scene01,,24,environment,,,,,ENV_CLOCK_TICKING+ENV_QUIET_ROOM,,,,
CH01,Scene01,,25,narration,,,部屋の明かりは、机の上だけを照らしている。,,,,,,
CH01,Scene01,,26,narration,,,たけしはコンビニの袋を脇へ寄せ、スマートフォンを開く。,,,,,,
CH01,Scene01,,27,direction,,,,,,,,,SNSの投稿画面
CH01,Scene01,,28,narration,,,写真の中のたけしは、明るい照明の下で笑っている。,,,,,,
CH01,Scene01,,29,narration,,,少し前に、一人で行ったコンサートの写真だ。,,,,,,
CH01,Scene01,,30,dialogue,たけし,message,「最高だった！　次も絶対行く！」,,,,,,
CH01,Scene01,,31,narration,,,投稿して、画面を下へ送る。,,,,,,
CH01,Scene01,,32,narration,,,反応は増えず、誰かの楽しそうな写真だけが次々に現れる。,,,,,,
CH01,Scene01,,33,narration,,,たけしは画面を伏せる。,,,,,,
CH01,Scene01,,34,direction,,,,,,,,,短い間
CH01,Scene01,,35,sfx,,,,,,,SFX_SMARTPHONE_VIBRATION,,
CH01,Scene01,,36,narration,,,伏せたばかりの画面を、すぐに返す。,,,,,,
CH01,Scene01,,37,narration,,,妹からの短いメッセージだった。,,,,,,
CH01,Scene01,,38,dialogue,妹,message,「来月、そっち行くかも。泊まっていい？」,,,,,,
CH01,Scene01,,39,narration,,,たけしは返信欄を開く。,,,,,,
CH01,Scene01,,40,narration,,,「いいよ」と打って消し、「いつ」と打って、それも消す。,,,,,,
CH01,Scene01,,41,dialogue,たけし,message,「決まったら連絡して」,,,,,,
CH01,Scene01,,42,narration,,,送信すると、会話はそこで止まった。,,,,,,
CH01,Scene01,,43,narration,,,たけしはアルバイトのシフト表を開く。,,,,,,
CH01,Scene01,,44,narration,,,空いた時間を埋めるように、追加で入れる日を探す。,,,,,,
CH01,Scene01,,45,environment,,,,,ENV_STATION_EVENING,,,,
CH01,Scene01,,46,narration,,,机の上のペンが、かすかに転がる。,,,,,,
CH01,Scene01,,47,narration,,,たけしは指で押さえる。,,,,,,
CH01,Scene01,,48,bgm,,,,,,停止,,,
CH01,Scene01,,49,narration,,,冷蔵庫の低い音が、不意に途切れる。,,,,,,
CH01,Scene01,,50,direction,,,,,,,,,画面がわずかに揺れる
