chapter_id,scene_id,subsection,sequence,record_type,speaker,delivery_mode,text,background,environment,bgm,sfx,time_cue,direction
CH03,,,,chapter_title,,,第三章「書かれた未来」,,,,,,
CH03,Scene01,,1,time_cue,,,,,,,,日記を買った、その日の夜。,時間経過：日記を買った、その日の夜。
CH03,Scene01,,2,background,,,,BG_CH3_KANAKO_APARTMENT_DESK_NIGHT,,,,,背景：かなこの自宅・机・夜／素材ID：BG_CH3_KANAKO_APARTMENT_DESK_NIGHT
CH03,Scene01,,3,environment,,,,,停止,,,,環境音：停止／Scene01はBGMのみ
CH03,Scene01,,4,bgm,,,,,,BGM_SC04D_ANXIETY_AND_DECISION,,,BGM：決断前の静かな不安／候補素材ID：BGM_SC04D_ANXIETY_AND_DECISION／低音量
CH03,Scene01,,5,narration,,,骨董品店の紙袋を、机の端へ置く。,,,,,,
CH03,Scene01,,6,narration,,,かなこは上着を脱ぐ前に、袋の中から古い日記を取り出した。,,,,,,
CH03,Scene01,,7,narration,,,布張りの表紙には、店で見たときと同じ染みがある。,,,,,,
CH03,Scene01,,8,narration,,,前半の数ページは、根元から抜き取られたままだった。,,,,,,
CH03,Scene01,,9,narration,,,かなこは日記を閉じ、横に置いた便箋へ向き直る。,,,,,,
CH03,Scene01,,10,sfx,,,,,,,,,効果音：ペン先が紙へ触れる音／効果音なし
CH03,Scene01,,11,narration,,,一行目を書き、読み返してから線を引く。,,,,,,
CH03,Scene01,,12,narration,,,「支援所で待っています」と書くと、来ることを求めているように見えた。,,,,,,
CH03,Scene01,,13,narration,,,「心配しています」と書くと、返事を求めているように見えた。,,,,,,
CH03,Scene01,,14,narration,,,新しい便箋を重ねる。,,,,,,
CH03,Scene01,,15,dialogue,かなこ,written,「急いで返さなくても大丈夫です」,,,,,,
CH03,Scene01,,16,narration,,,その先で、手が止まる。,,,,,,
CH03,Scene01,,17,narration,,,たけしにとって何が大丈夫なのかは、かなこには決められない。,,,,,,
CH03,Scene01,,18,narration,,,便箋を脇へ寄せたとき、机の明かりが日記の空白へ斜めに当たる。,,,,,,
CH03,Scene01,,19,narration,,,白いはずの紙に、浅い溝が浮いていた。,,,,,,
CH03,Scene01,,20,direction,,,,,,,,,画面演出：日記のページを拡大。斜めの光で筆圧の一部だけを表示
CH03,Scene01,,21,direction,,written,「書いた次の日」,,,,,,日記の筆圧：「書いた次の日」
CH03,Scene01,,22,narration,,,行の前後は読めない。,,,,,,
CH03,Scene01,,23,narration,,,ページを少し傾ける。,,,,,,
CH03,Scene01,,24,direction,,written,「願ったことだけでは」,,,,,,日記の筆圧：「願ったことだけでは」
CH03,Scene01,,25,narration,,,さらに下には、文字の上半分だけが残っている。,,,,,,
CH03,Scene01,,26,direction,,written,「一か月より前は」,,,,,,日記の筆圧：「一か月より前は」
CH03,Scene01,,27,narration,,,明かりを正面へ戻すと、どの文字も消えたように見えた。,,,,,,
CH03,Scene01,,28,narration,,,以前の持ち主が書いたものかもしれない。,,,,,,
CH03,Scene01,,29,narration,,,抜き取られた紙の跡が、偶然そう見えただけかもしれない。,,,,,,
CH03,Scene01,,30,narration,,,かなこはページを閉じる。,,,,,,
CH03,Scene01,,31,sfx,,,,,,,SFX_SMARTPHONE_VIBRATION,,効果音：スマートフォンの振動／候補素材ID：SFX_SMARTPHONE_VIBRATION
CH03,Scene01,,32,narration,,,伏せていたスマートフォンの画面が光る。,,,,,,
CH03,Scene01,,33,narration,,,たけしへ送ったメッセージに、返信が届いていた。,,,,,,
CH03,Scene01,,34,dialogue,たけし,message,「ありがとうございます。今はまだ、行けません」,,,,,,
CH03,Scene01,,35,narration,,,短い間を置いて、もう一つ届く。,,,,,,
CH03,Scene01,,36,dialogue,たけし,message,「音がしないときも、次に音がするんじゃないかと思ってしまいます。いつ行けるかは分かりません」,,,,,,
CH03,Scene01,,37,narration,,,来ないとは書かれていない。,,,,,,
CH03,Scene01,,38,narration,,,来るとも書かれていない。,,,,,,
CH03,Scene01,,39,narration,,,かなこは返信欄を開き、「分かりました」と打つ。,,,,,,
CH03,Scene01,,40,narration,,,送信する前に、その文字を消した。,,,,,,
CH03,Scene01,,41,narration,,,分かったと言えるほど、分かってはいない。,,,,,,
CH03,Scene01,,42,narration,,,日記の表紙へ目を戻す。,,,,,,
CH03,Scene01,,43,narration,,,たけし本人が、短くても自分で送った言葉だった。,,,,,,
