chapter_id,scene_id,subsection,sequence,record_type,speaker,delivery_mode,text,background,environment,bgm,sfx,time_cue,direction
CH02,,,,chapter_title,,,第二章「来なくなった人」,,,,,,
CH02,Scene01,,1,time_cue,,,,,,,,翌日,
CH02,Scene01,,2,background,,,,BG_SC03_SUPPORT_CENTER_WORKROOM_DAY,,,,,
CH02,Scene01,,3,environment,,,,,ENV_UNIVERSITY_CLASSROOM,,,,
CH02,Scene01,,4,bgm,,,,,,停止,,,
CH02,Scene01,,5,narration,,,受付の向こうで、かなこが案内用の紙を揃えている。,,,,,,
CH02,Scene01,,6,narration,,,たけしに気づくと、かなこは案内を渡し終えてから顔を上げる。,,,,,,
CH02,Scene01,,7,narration,,,机の向かいの椅子を指した。昨日、話すと約束した席だった。,,,,,,
CH02,Scene01,,8,dialogue,かなこ,written,「昨日、帰ってから少しは休めた？」,,,,,,
CH02,Scene01,,9,narration,,,文字を読み終える前に、たけしはうなずく。,,,,,,
CH02,Scene01,,10,dialogue,たけし,spoken,「少し。今日は動けます」,,,,,,
CH02,Scene01,,11,dialogue,かなこ,written,「奥の在庫整理なら、ここより静か。お願いしてもいい？」,,,,,,
CH02,Scene01,,12,narration,,,作業台の向こうでは、袋を広げる準備が始まっていた。,,,,,,
CH02,Scene01,,13,narration,,,まだ音はしていない。,,,,,,
CH02,Scene01,,14,narration,,,たけしは、袋を持つ手と、積まれた箱の角を順に見る。,,,,,,
CH02,Scene01,,15,dialogue,たけし,spoken,「それなら、やります」,,,,,,
CH02,Scene01,,16,dialogue,かなこ,sign,「一人で平気？」,,,,,,
CH02,Scene01,,17,dialogue,たけし,sign,「その方がやりやすいです」,,,,,,
CH02,Scene01,,18,narration,,,かなこは近くの支援所職員を呼び、在庫表を受け取る。,,,,,,
CH02,Scene01,,19,sfx,,,,,,,,,
CH02,Scene01,,20,narration,,,職員は未確認の棚へ印をつけ、たけしに表を渡した。,,,,,,
CH02,Scene01,,21,dialogue,支援所職員,spoken,「全部終わらなくても、確認したところまで印をつけてください」,,,,,,
CH02,Scene01,,22,narration,,,全部終わらなくても、という言葉を、続けられないと見透かされたように受け取る。,,,,,,
CH02,Scene01,,23,dialogue,たけし,spoken,「今日は帰りません」,,,,,,
CH02,Scene01,,24,narration,,,答えが早すぎたことに気づき、在庫表へ目を落とす。,,,,,,
CH02,Scene01,,25,dialogue,たけし,spoken,「今日は、最後までいますよ」,,,,,,
CH02,Scene01,,26,narration,,,奥の棚は静かだった。,,,,,,
